"Olive.oil" "cultivar" "region" "subregion" "Origin" "prelevement" "hydroxytyrosol" "tyrosol" "vanillic.acid" "p.coumaric.acid" "vanillin" "ferulic.acid" "luteolin" "apigenin" "alfatocopherol"
"SP 1" "SP 1" "Verdial" "Huelva" "Villarasa" "Spain" "2004-05" 23.3584 32.1267 3.1652 2.0195 1.4245 2.7669 2.6729 2.984 141.610032345066
"SP 2" "SP 2" "Verdial" "Huelva 50km" "Bartolina" "Spain" "2004-05" 20.3447 30.572 3.1998 1.9424 1.5088 2.897 5.1999 3.2611 161.033942610184
"SP 3" "SP 3" "Picual, f" "Jaen" "Orcera" "Spain" "2004-05" 18.0643 16.3975 3.1999 2.3881 1.7023 2.5281 5.3956 6.1782 133.002172963579
"SP 4" "SP 4" "Picual, nf" "Jaen" "Orcera" "Spain" "2004-05" 25.8184 12.4258 2.9023 1.5363 1.9074 0.08 6.6098 6.4458 182.298988685696
"SP 5" "SP 5" "Picual, nf" "Jaen" "Jaen" "Spain" "2004-05" 18.0267 10.7708 2.9018 1.5823 1.6722 0.08 7.2378 7.3984 122.973472735276
"SP 6" "SP 6" "Picual" "Huelva" "Villarasa" "Spain" "2004-05" 30.5439 39.6235 3.2063 2.3273 1.24 0.08 9.2956 3.3733 149.946655931601
"SP 7" "SP 7" "Picual, nf" "Jaen" "Puerta de Segura" "Spain" "2004-05" 17.7681 9.9555 2.9034 1.5828 1.5665 0.08 7.904 7.7702 169.319823626726
"SP R1" "SP R1" "Cornicabra" "Toledo" "Toledo" "Spain" "2003-04" 60.612025661385 40.8508921329413 3.16646983884943 2.25142906440639 3.34594756441086 2.58649305566283 12.3644072411068 5.09095369238226 157.522281729118
"SP R2" "SP R2" "Verdial de Huevar" "Huelva" "Villarasa" "Spain" "2003-04" 54.3776477681264 89.0723634950722 3.50178689663237 2.82341105063637 1.38242809106679 2.95664966959080 13.0697689380275 6.13729310164152 NA
"SP R3" "SP R3" "Picual" "Jaen" "Jaen" "Spain" "2003-04" 35.6252562915639 18.9067 3.0805 1.74077211757314 1.34384175658412 2.29292706523701 16.8841491256455 24.3791361817684 238.885901760149
"IT 1" "IT 1" "Dritta" "Cosensa" "Rende" "Italy" "2003-04" 36.8398 71.1568 3.9089 2.3696 1.2276 0.08 5.7927 7.4501 119.624347529416
"IT 2" "IT 2" "Peranzana" "Cosensa" "Rende" "Italy" "2003-04" 5.4566 12.8878 2.8976 1.4937 1.3728 0.08 2.6653 2.5308 203.402136845368
"IT 3" "IT 3" "Sinopolese" "Cosensa" "Rende" "Italy" "2003-04" 1.1732 7.9992 4.0694 1.4771 1.409 0.08 3.5199 2.3807 201.949882936198
"IT 4" "IT 4" "Taggiasca" "Imperia" "Liguria" "Italy" "2003-04" 1.1708 10.9732 3.1934 1.7287 1.4416 0.08 4.3837 1.7205 41.6745599896655
"IT 5" "IT 5" "blend" NA NA "Italy" "" 41.0758 47.0266 3.0476 1.5293 2.0093 2.5281 4.6211 6.9032 190.15
"IT 6" "IT 6" "Carolea" "Cosensa" "Rende" "Italy" "2003-04" 75.8810548810317 63.88119063125 3.23494470753803 1.47120754703429 1.79138900044904 2.71564146923041 43.8540744204970 14.1813987049125 158.417018727149
"PO 1" "PO 1" "Azeteira" "South" NA "Portugal" "2004-05" 4.6755 22.9901 3.3052 2.1528 1.4275 0.08 4.564 3.8964 121.583827076450
"PO 2" "PO 2" "Blanqueta" "South" NA "Portugal" "2004-05" 46.8358 50.7905 3.2839 2.3887 1.6138 0.08 3.4524 3.4812 94.1708726429036
"PO 3" "PO 3" "Carrasquencha" "South" NA "Portugal" "2004-05" 32.9483 50.7977 3.7429 4.6745 1.4039 3.3823 6.0981 5.4057 65.0437732317863
"PO 4" "PO 4" "Cobrançosa" "South" NA "Portugal" "2004-05" 35.5881 42.0948 3.5652 2.0384 1.5984 0.08 4.3551 3.4663 177.300282717263
"PO 5" "PO 5" "Cordovil" "South" NA "Portugal" "2004-05" 3.8548 24.9244 3.2604 4.0485 1.9044 0.08 16.1488 1.7446 61.4557207741783
"PO 6" "PO 6" "Galega" "South" NA "Portugal" "2004-05" 3.8661 27.066 3.5438 2.5005 3.5438 2.7669 11.0803 2.033 109.315118633589
"PO 7" "PO 7" "Madural" "Tras os Montes" NA "Portugal" "2004-05" 8.2382 16.0008 3.063 2.6041 1.5064 0.08 4.2261 4.6504 78.976598766292
"PO 9" "PO 9" "Verdeal" "Tras os Montes" NA "Portugal" "2004-05" 9.57263377360027 21.9235846064657 3.05963100568376 1.67274470782632 1.51762739979802 2.31625449996541 0.932268133433311 6.30347185131792 110.133531448419
"PO 11" "PO 11" "Redondal" "Tras os Montes" NA "Portugal" "2004-05" 2.03005510876567 29.4160897001483 3.44113714558253 4.59785945631098 1.57631641364165 3.36500827202916 20.1438219969064 2.29171394868928 23.6579086888123
